Reference, Quantity, Value, Footprint, Datasheet, Part Number, Alternative, Note
C10 C9 ,2,"4.7uF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","http://www.farnell.com/datasheets/2728346.pdf?_ga=2.257770507.120407668.1580559680-797642152.1567873553","RDEC72A475MWK1H03B","",""
C12 C11 ,2,"1000uF/63V","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","https://www.mouser.com/datasheet/2/315/ABA0000C1218-1131230.pdf","EEUFC1J102U","",""
C13 ,1,"100uF/63V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","https://www.mouser.com/datasheet/2/315/ABA0000C1218-1131230.pdf","ECA-1JM101","",""
C14 C4 C8 C7 C3 C6 C5 ,7,"100nF/50V","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","http://www.farnell.com/datasheets/2045792.pdf?_ga=2.261629197.120407668.1580559680-797642152.1567873553","K104K15X7RF53L2","",""
C15 C16 C17 C18 ,4,"1.8nF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","http://www.farnell.com/datasheets/2739049.pdf?_ga=2.63973551.120407668.1580559680-797642152.1567873553","C320C182J1G5TA","",""
C2 C1 ,2,"220nF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","http://www.farnell.com/datasheets/2752854.pdf?_ga=2.26667709.120407668.1580559680-797642152.1567873553","R82DC3220Z360J","",""
D4 D3 D2 D1 ,4,"MBR360","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.onsemi.com/pub_link/Collateral/MBR340-D.PDF","MBR360G","",""
D8 D7 D6 D5 ,4,"D_Schottky_Small","Diode_THT:D_T-1_P5.08mm_Horizontal","https://www.diodes.com/assets/Datasheets/ds11009.pdf","SD103B-F","",""
H1 H2 H3 H4 ,4,"MountingHole_Pad","MountingHole:MountingHole_2.1mm","~","","","M2.5 Bolt"
HS1 HS2 HS3 HS4 ,4,"Heatsink_Pad","_Heatsink:Heatsink_AAVID_6021BG_25.4x12.7mm__Solderable","https://www.boydcorp.com/aavid-datasheets/Board-Level-Cooling-Channel-6021.pdf","6021BG","590102B03600G",""
J1 ,1,"Screw_Terminal_01x04","TerminalBlock_4Ucon:TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal","http://www.farnell.com/datasheets/1838842.pdf?_ga=2.60638509.120407668.1580559680-797642152.1567873553","31059104","",""
J2 ,1,"Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal","http://www.farnell.com/datasheets/2363060.pdf?_ga=2.26159549.120407668.1580559680-797642152.1567873553","MKDS 1,5/ 4","",""
J3 ,1,"Barrel_Jack_Switch","Barrel_Jack:BarrelJack_Horizontal","https://www.we-online.de/katalog/datasheet/6941xx301002.pdf","694106301002","",""
J4 ,1,"Screw_Terminal_01x02","TerminalBlock_RND:TerminalBlock_RND_205-00012_1x02_P5.00mm_Horizontal","http://www.farnell.com/datasheets/2336346.pdf?_ga=2.63964335.120407668.1580559680-797642152.1567873553","31320102","",""
JMPR1 ,1,"Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","10-89-7041","",""
